oid;category
919;4-Fotbal-Liga mistr?
919;4-Fotbal-void
919;4-Itálie-Liga mistr?
919;4-Itálie-void
1192;4-Anglie-ATP Masters Londýn
1192;4-Anglie-void
1192;4-Tenis-ATP Masters Londýn
1192;4-Tenis-void
1202;3-?eská republika-Jeseníky
1202;3-?eská republika-void
1235;4-Anglie-ATP Masters Londýn
1235;4-Anglie-void
1235;4-Tenis-ATP Masters Londýn
1235;4-Tenis-void
1298;3-Slovensko-Skelné Teplice
1298;3-Slovensko-void
1462;4-Anglie-ATP Masters Londýn
1462;4-Anglie-void
1462;4-Tenis-ATP Masters Londýn
1462;4-Tenis-void
1823;3-Slovensko-Pieš?any
1823;3-Slovensko-void
1837;3-Slovensko-Nový Smokovec
1837;3-Slovensko-void
1452;3-?eská republika-Libverda
1452;3-?eská republika-void
1348;3-?eská republika-Karlovy Vary
1348;3-?eská republika-void
1147;3-Slovensko-Velký Meder
1147;3-Slovensko-void
2368;3-?eská republika-Luha?ovice
2368;3-?eská republika-void
1492;3-Ma?arsko-Hevíz
1492;3-Ma?arsko-void
533;3-Ma?arsko-Hevíz
533;3-Ma?arsko-void
2444;3-Slovensko-Velký Meder
2444;3-Slovensko-void
900;3-Slovensko-Dudince
900;3-Slovensko-void
901;3-Slovensko-Dudince
901;3-Slovensko-void
2530;3-Autokarem do termál?-Slovensko - Velký Meder
2530;3-Autokarem do termál?-void
2624;3-Slovensko-Rajecké Teplice
2624;3-Slovensko-void
2643;3-Slovensko-Pieš?any
2643;3-Slovensko-void
2704;2-Island-void
373;4-Anglie-Liga mistr?
373;4-Anglie-void
373;4-Fotbal-Liga mistr?
373;4-Fotbal-void
301;3-Slovensko-Velký Meder
301;3-Slovensko-void
2945;4-Formule 1-Brazílie
2945;4-Formule 1-void
2976;4-Golf-void
2976;4-Skotsko-void
2981;3-Slovensko-Pieš?any
2981;3-Slovensko-void
3050;4-Biatlon-void
2455;5-Itálie-void
2512;5-Itálie-void
3076;5-Itálie-void
2555;5-Itálie-void
3088;5-Itálie-void
3089;5-Itálie-void
3091;5-Itálie-void
727;3-?eská republika-Karlovy Vary
727;3-?eská republika-void
2119;3-?eská republika-Pod?brady
2119;3-?eská republika-void
1208;3-?eská republika-Pod?brady
1208;3-?eská republika-void
1773;3-?eská republika-Pod?brady
1773;3-?eská republika-void
1210;3-?eská republika-Pod?brady
1210;3-?eská republika-void
15;3-Slovensko-Velký Meder
15;3-Slovensko-void
540;3-Slovensko-Velký Meder
540;3-Slovensko-void
