"oid","feature","value"
"919","juventus","0.29055644239766"
"919","turin","0.3426184157996"
"919","liga","0.23006151415946"
"919","mistre","0.25715947280095"
"919","olympiacos","0.076400355666284"
"919","fotbal","0.17457801462155"
"919","italie","0.17384486661951"
"919","typ4","0.090195048953564"
"919","str2","0.0571492313955"
"919","dopr1","0.019446685397475"
"919","ubyt6","0.046315247753639"
"919","ubytkat2","0.062867056873092"
"919","delka3","0.049408697070023"
"919","sleva1","0.041082659711533"
"919","avgprice10000","0.047102542831507"
"919","avgpricenight10000","0.080819264084508"
"919","termin11","0.034653051531072"
"1192","atp","0.19079557519658"
"1192","masters","0.2241578104275"
"1192","letecky","0.13736042384184"
"1192","double","0.30560142266514"
"1192","hraci","0.27409473263968"
"1192","dny3","0.33710811269059"
"1192","noci","0.086497715137634"
"1192","zakl","0.33710811269059"
"1192","skup","0.33710811269059"
"1192","anglie","0.17422088821531"
"1192","tenis","0.15664029843822"
"1192","londyn","0.18729734605403"
"1192","typ4","0.072156039162851"
"1192","str2","0.0571492313955"
"1192","dopr3","0.08001757583514"
"1192","ubyt6","0.037052198202911"
"1192","ubytkat2","0.050293645498473"
"1192","delka6","0.043476092037063"
"1192","sleva1","0.032866127769226"
"1192","avgprice20000","0.067823758262654"
"1192","avgpricenight10000","0.080819264084508"
"1192","termin11","0.069306103062143"
"1202","priessnitzovy","0.29034702833794"
"1202","leeebne","0.20987513271624"
"1202","lazne","0.093755746701725"
"1202","jesenik","0.22915825675684"
"1202","silvestrovsky","0.15171759222595"
"1202","pobyt","0.055596483838547"
"1202","noci","0.095147486651397"
"1202","eeska","0.059789415454659"
"1202","republika","0.059789415454659"
"1202","jeseniky","0.22915825675684"
"1202","typ3","0.044056860408963"
"1202","str3","0.041510341216913"
"1202","dopr1","0.017113083149778"
"1202","ubyt7","0.041925856073594"
"1202","ubytkat0","0.047356408119858"
"1202","delka9","0.068096956646178"
"1202","sleva6","0.03843450528148"
"1202","avgprice10000","0.051812797114658"
"1202","avgpricenight1200","0.055141521645792"
"1202","termin12","0.065690994228968"
"1235","atp","0.19988107877737"
"1235","masters","0.23483199187643"
"1235","semifinale","0.2059683821826"
"1235","noci","0.090616653953712"
"1235","semifinalove","0.32015387136348"
